,COREF,start_token,end_token,prop,cat,text,character_name
4162,20,32212,32212,PRON,PER,my,Mr. Ebenezer Scrooge
4163,20,32227,32227,PRON,PER,I,Mr. Ebenezer Scrooge
4165,20,32233,32233,PRON,PER,me,Mr. Ebenezer Scrooge
4166,20,32236,32236,PRON,PER,I,Mr. Ebenezer Scrooge
4169,20,32262,32262,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4170,66,32268,32268,PRON,PER,you,THE SPIRITS The Phantom
4171,20,32280,32280,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4172,20,32286,32286,PRON,PER,his,Mr. Ebenezer Scrooge
4175,20,32301,32301,PRON,PER,his,Mr. Ebenezer Scrooge
4177,20,32318,32318,PRON,PER,himself,Mr. Ebenezer Scrooge
4178,66,32320,32321,PROP,PER,The Phantom,THE SPIRITS The Phantom
4179,20,32326,32326,PRON,PER,He,Mr. Ebenezer Scrooge
4180,66,32328,32328,PRON,PER,it,THE SPIRITS The Phantom
4181,20,32338,32338,PRON,PER,he,Mr. Ebenezer Scrooge
4182,66,32343,32343,PRON,PER,it,THE SPIRITS The Phantom
4184,20,32351,32351,PRON,PER,He,Mr. Ebenezer Scrooge
4187,20,32372,32372,PRON,PER,he,Mr. Ebenezer Scrooge
4193,20,32439,32439,PRON,PER,He,Mr. Ebenezer Scrooge
4195,66,32445,32446,PROP,PER,The Phantom,THE SPIRITS The Phantom
4196,20,32455,32455,PRON,PER,he,Mr. Ebenezer Scrooge
4197,20,32458,32458,PRON,PER,he,Mr. Ebenezer Scrooge
4198,20,32469,32469,PRON,PER,I,Mr. Ebenezer Scrooge
4199,34,32477,32477,PRON,PER,you,Good Spirit
4200,20,32482,32482,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4201,20,32486,32486,PRON,PER,me,Mr. Ebenezer Scrooge
4202,14,32515,32516,PROP,PER,the Ghost,MARLEY 'S GHOST Marley
4205,20,32549,32549,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4206,34,32571,32571,PRON,PER,you,Good Spirit
4207,20,32573,32573,PRON,PER,me,Mr. Ebenezer Scrooge
4208,34,32576,32577,PROP,PER,The Spirit,Good Spirit
4209,20,32583,32583,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4211,20,32590,32590,PRON,PER,he,Mr. Ebenezer Scrooge
4213,20,32607,32607,PRON,PER,his,Mr. Ebenezer Scrooge
4214,20,32611,32612,PROP,PER,EBENEZER SCROOGE,Mr. Ebenezer Scrooge
4215,20,32616,32616,PRON,PER,I,Mr. Ebenezer Scrooge
4217,20,32626,32626,PRON,PER,he,Mr. Ebenezer Scrooge
4218,20,32629,32629,PRON,PER,his,Mr. Ebenezer Scrooge
4220,20,32639,32639,PRON,PER,him,Mr. Ebenezer Scrooge
