,COREF,start_token,end_token,prop,cat,text,character_name
1643,115,11131,11131,PRON,PER,I,Mr. Dorian Gray
1645,115,11146,11146,PROP,PER,Dorian,Mr. Dorian Gray
1646,115,11156,11156,PRON,PER,He,Mr. Dorian Gray
1647,115,11161,11161,PRON,PER,His,Mr. Dorian Gray
1648,115,11166,11166,PRON,PER,his,Mr. Dorian Gray
1649,115,11174,11174,PRON,PER,he,Mr. Dorian Gray
1650,115,11178,11178,PRON,PER,I,Mr. Dorian Gray
1651,113,11182,11182,PRON,PER,you,Basil Hallward
1652,113,11184,11184,PRON,PER,your,Basil Hallward
1653,113,11188,11188,PRON,PER,your,Basil Hallward
1654,113,11192,11192,PRON,PER,You,Basil Hallward
1655,113,11201,11201,PRON,PER,you,Basil Hallward
1656,115,11203,11203,PRON,PER,me,Mr. Dorian Gray
1657,115,11206,11206,PRON,PER,I,Mr. Dorian Gray
1658,115,11208,11208,PRON,PER,my,Mr. Dorian Gray
1659,115,11212,11212,PRON,PER,I,Mr. Dorian Gray
1660,115,11215,11215,PRON,PER,I,Mr. Dorian Gray
1664,113,11238,11238,PRON,PER,Your,Basil Hallward
1665,115,11242,11242,PRON,PER,me,Mr. Dorian Gray
1666,112,11245,11247,PROP,PER,Lord Henry Wotton,Lord Henry Wotton
1668,115,11261,11261,PRON,PER,I,Mr. Dorian Gray
1669,115,11264,11264,PRON,PER,I,Mr. Dorian Gray
1670,115,11269,11269,PRON,PER,I,Mr. Dorian Gray
1671,115,11272,11272,PRON,PER,myself,Mr. Dorian Gray
1672,113,11275,11275,PROP,PER,Hallward,Basil Hallward
1673,113,11280,11280,PRON,PER,his,Basil Hallward
1674,115,11284,11284,PROP,PER,Dorian,Mr. Dorian Gray
1675,115,11286,11286,PROP,PER,Dorian,Mr. Dorian Gray
1676,113,11289,11289,PRON,PER,he,Basil Hallward
1677,113,11299,11299,PRON,PER,I,Basil Hallward
1679,115,11307,11307,PRON,PER,you,Mr. Dorian Gray
1680,113,11310,11310,PRON,PER,I,Basil Hallward
1681,115,11317,11317,PRON,PER,You,Mr. Dorian Gray
1682,115,11326,11326,PRON,PER,you?-you,Mr. Dorian Gray
1685,115,11354,11354,PRON,PER,you,Mr. Dorian Gray
1691,115,11411,11411,PRON,PER,you,Mr. Dorian Gray
1694,113,11432,11432,PRON,PER,his,Basil Hallward
1695,113,11435,11435,PRON,PER,he,Basil Hallward
1696,113,11437,11437,PRON,PER,his,Basil Hallward
1697,113,11443,11443,PRON,PER,himself,Basil Hallward
1698,113,11448,11448,PRON,PER,he,Basil Hallward
1699,113,11450,11450,PRON,PER,his,Basil Hallward
1700,113,11458,11458,PRON,PER,he,Basil Hallward
1701,115,11465,11465,PRON,PER,your,Mr. Dorian Gray
1702,112,11468,11468,PROP,PER,Harry,Lord Henry Wotton
1704,112,11476,11477,PROP,PER,Lord Henry,Lord Henry Wotton
1705,112,11479,11479,PRON,PER,his,Lord Henry Wotton
1706,115,11487,11488,PROP,PER,Dorian Gray,Mr. Dorian Gray
1707,112,11509,11509,PRON,PER,I,Lord Henry Wotton
1708,115,11517,11517,PRON,PER,You,Mr. Dorian Gray
